,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,RegionNum,DistrictNum,GardenNum,RoomNum,HallNum,DirectionNum,RenovationNum,PriceNum,YearNum,SizeNum,FloorNum
176,门头沟,门头沟其它,惠泽家园,2,1,6,2010,88,南北,精装,310.0,14,204,1378,1,1,22,3,310.0,2010,88,6
177,门头沟,城子,阁外山水,1,1,7,2004,68,南北,简装,240.0,14,74,2845,0,1,22,2,240.0,2004,68,7
178,门头沟,大峪,黑山东街,2,1,7,1994,75,东西,其他,290.0,14,78,3054,1,1,13,0,290.0,1994,75,7
179,门头沟,城子,阁外山水,2,1,7,2004,99,东西,其他,380.0,14,74,2845,1,1,13,0,380.0,2004,99,7
180,门头沟,城子,绿岛家园,2,1,6,2003,98,南北,精装,380.0,14,74,2272,1,1,22,3,380.0,2003,98,6
181,门头沟,门头沟其它,梧桐苑栖凤园,2,1,27,2013,85,南,精装,390.0,14,204,1717,1,1,20,3,390.0,2013,85,27
182,门头沟,滨河西区,葡东小区,2,1,6,1996,84,南北,精装,320.0,14,143,2449,1,1,22,3,320.0,1996,84,6
183,门头沟,冯村,丽景长安,2,1,23,2012,87,南,精装,418.0,14,36,286,1,1,20,3,418.0,2012,87,23
184,门头沟,门头沟其它,惠泽家园,2,1,6,2010,88,南北,简装,308.0,14,204,1378,1,1,22,2,308.0,2010,88,6
185,门头沟,滨河西区,石龙北路26号院,2,1,6,1997,92,南北,精装,370.0,14,143,2148,1,1,22,3,370.0,1997,92,6
186,门头沟,城子,向阳东里,3,1,6,1990,68,南北,其他,255.0,14,74,830,2,1,22,0,255.0,1990,68,6
187,门头沟,门头沟其它,梧桐苑清露园,3,1,23,2013,89,东南,精装,411.0,14,204,1718,2,1,4,3,411.0,2013,89,23
188,门头沟,门头沟其它,南街铁路小区,2,1,6,1994,57,东西,毛坯,200.0,14,204,738,1,1,13,1,200.0,1994,57,6
189,门头沟,门头沟其它,矿建街268号院,2,1,5,2003,87,南北,精装,297.0,14,204,2149,1,1,22,3,297.0,2003,87,5
190,门头沟,大峪,西山环路6号院,3,2,8,2015,123,南北,精装,679.0,14,78,2531,2,2,22,3,679.0,2015,123,8
191,门头沟,滨河西区,承泽苑,2,1,6,2000,101,东南,其他,400.0,14,143,1393,1,1,4,0,400.0,2000,101,6
192,门头沟,门头沟其它,惠泽家园,2,1,6,2010,86,南北,精装,295.0,14,204,1378,1,1,22,3,295.0,2010,86,6
193,门头沟,大峪,惠民家园,2,1,6,2011,67,南,简装,269.0,14,78,1377,1,1,20,2,269.0,2011,67,6
194,门头沟,大峪,峪园小区,2,1,6,1990,64,南北,其他,240.0,14,78,1209,1,1,22,0,240.0,1990,64,6
195,门头沟,城子,城子二斜井,2,1,6,1980,61,东南北,简装,216.0,14,74,932,1,1,6,2,216.0,1980,61,6
196,门头沟,滨河西区,承泽苑,2,1,6,2000,80,南北,简装,328.0,14,143,1393,1,1,22,2,328.0,2000,80,6
197,门头沟,大峪,黑山东街,2,1,6,1980,54,南北,其他,205.0,14,78,3054,1,1,22,0,205.0,1980,54,6
198,门头沟,门头沟其它,中门寺街67号院,2,1,4,2003,88,南北,简装,280.0,14,204,265,1,1,22,2,280.0,2003,88,4
199,门头沟,大峪,金泰丽湾悦栖山,4,2,19,2015,220,南北,毛坯,825.0,14,78,2735,3,2,22,1,825.0,2015,220,19
